推广位ID,推广位名称,order_line_count,attributed_order_count,sku_count,item_quantity,attributed_payment_amount,zero_payment_line_count,active_days,invalid_order_count,non_invalid_order_count,mixed_status_order_count,classified_order_count,invalid_order_rate,zero_payment_line_rate,attributed_payment_amount_per_active_day,attributed_payment_amount_share,is_main_comparison_eligible,scale_threshold_amount,risk_threshold_rate,scale_risk_quadrant
19000067838938,VproI56,1870,1701,32,1894,297961.43,103,59,106,1591,4,1697,0.06246317030053035,0.05508021390374331,5050.19372881356,0.0731643990413012,True,19963.415,0.06860881643394985,high_scale_low_risk
19000066689017,VproI526,1516,1241,29,1541,214823.83,247,49,53,1188,0,1241,0.0427074939564867,0.1629287598944591,4384.159795918367,0.052749969758504156,True,19963.415,0.06860881643394985,high_scale_low_risk
19000065589053,VproI524,1702,1245,18,1731,210280.25,441,34,35,1210,0,1245,0.028112449799196786,0.2591069330199765,6184.713235294118,0.051634294148422424,True,19963.415,0.06860881643394985,high_scale_low_risk
18999857539039,VesleepI1,1726,1668,21,1798,195901.04,19,94,150,1508,10,1658,0.09047044632086852,0.01100811123986095,2084.0536170212768,0.04810348058527545,True,19963.415,0.06860881643394985,high_scale_high_risk
18999721388976,VsleepI31,1755,1723,20,1817,169773.02300000002,7,97,148,1571,4,1719,0.08609656777196044,0.003988603988603989,1750.2373505154642,0.04168774864995113,True,19963.415,0.06860881643394985,high_scale_high_risk
19000062989104,VproI525,1069,903,22,1093,158111.18,139,53,49,854,0,903,0.05426356589147287,0.13002806361085126,2983.2298113207544,0.0388241842791901,True,19963.415,0.06860881643394985,high_scale_low_risk
19000067738968,VproI555,1028,910,22,1046,156312.34,99,48,59,850,1,909,0.06490649064906491,0.0963035019455253,3256.5070833333334,0.03838247929887955,True,19963.415,0.06860881643394985,high_scale_low_risk
18999732539364,TsleepI6,1582,1456,30,1664,154364.61000000002,39,80,116,1319,21,1435,0.0808362369337979,0.02465233881163085,1929.5576250000001,0.03790421439410744,True,19963.415,0.06860881643394985,high_scale_high_risk
19000066539000,VproI53,903,841,21,913,144447.79,46,56,55,786,0,841,0.06539833531510107,0.05094130675526024,2579.4248214285717,0.03546914024474268,True,19963.415,0.06860881643394985,high_scale_low_risk
19000061889165,VproI514,881,825,18,893,140851.76,39,56,43,782,0,825,0.052121212121212124,0.04426787741203178,2515.21,0.03458613544145492,True,19963.415,0.06860881643394985,high_scale_low_risk
19000065539021,VproI54,791,698,21,815,119138.72,83,59,54,643,1,697,0.07747489239598278,0.10493046776232617,2019.3003389830508,0.029254500662551704,True,19963.415,0.06860881643394985,high_scale_high_risk
19000063739093,VproI516,726,702,19,730,117210.43000000001,15,48,35,667,0,702,0.04985754985754986,0.02066115702479339,2441.8839583333333,0.028781009247816076,True,19963.415,0.06860881643394985,high_scale_low_risk
19000066489027,VproI522,766,565,17,781,97466.26,188,32,16,549,0,565,0.02831858407079646,0.2454308093994778,3045.820625,0.02393283029854976,True,19963.415,0.06860881643394985,high_scale_low_risk
19000062539157,VproI534,573,535,17,585,93210.41,20,57,33,502,0,535,0.0616822429906542,0.034904013961605584,1635.270350877193,0.022887806760906244,True,19963.415,0.06860881643394985,high_scale_low_risk
18999738938942,TsleepI14,880,812,22,932,84755.61,36,61,80,719,13,799,0.10012515644555695,0.04090909090909091,1389.4362295081967,0.020811731474872096,True,19963.415,0.06860881643394985,high_scale_high_risk
19000063039124,VproI529,457,367,12,466,62027.42,88,34,19,348,0,367,0.051771117166212535,0.1925601750547046,1824.335882352941,0.015230826716002763,True,19963.415,0.06860881643394985,high_scale_low_risk
19000062889125,VproI55,408,361,22,413,61471.78,34,51,25,336,0,361,0.06925207756232687,0.08333333333333333,1205.329019607843,0.015094389370124445,True,19963.415,0.06860881643394985,high_scale_high_risk
18999908389094,TstressI14,532,449,26,558,60889.1,17,47,21,420,8,441,0.047619047619047616,0.03195488721804511,1295.5127659574468,0.014951312354977264,True,19963.415,0.06860881643394985,high_scale_low_risk
19000064339081,VproI556,436,307,21,456,58416.62,102,23,7,300,0,307,0.02280130293159609,0.23394495412844038,2539.853043478261,0.014344195140706825,True,19963.415,0.06860881643394985,high_scale_low_risk
18999853939166,VesleepI9,422,414,13,431,57220.85,0,46,38,376,0,414,0.09178743961352658,0.0,1243.9315217391304,0.014050573937983988,True,19963.415,0.06860881643394985,high_scale_high_risk
18999737989260,TsleepI7,568,529,19,612,57178.21,22,43,33,484,12,517,0.06382978723404255,0.03873239436619718,1329.7258139534883,0.014040103690290783,True,19963.415,0.06860881643394985,high_scale_low_risk
19000063789096,VproI51,332,325,10,334,54191.79,0,27,27,298,0,325,0.08307692307692308,0.0,2007.1033333333335,0.013306788560930172,True,19963.415,0.06860881643394985,high_scale_high_risk
19000061139241,VproI554,311,258,16,319,46239.53,41,28,14,244,0,258,0.05426356589147287,0.13183279742765272,1651.4117857142858,0.01135411192113764,True,19963.415,0.06860881643394985,high_scale_low_risk
19000062139186,VproI551,305,239,15,323,43311.77,56,35,13,226,0,239,0.05439330543933055,0.18360655737704917,1237.4791428571427,0.010635200748852153,True,19963.415,0.06860881643394985,high_scale_low_risk
19000067788950,VproI549,280,241,12,285,41721.85,34,36,12,229,0,241,0.04979253112033195,0.12142857142857143,1158.9402777777777,0.010244796053439913,True,19963.415,0.06860881643394985,high_scale_low_risk
19000065989050,VproI553,256,219,9,261,37778.75,32,32,18,201,0,219,0.0821917808219178,0.125,1180.5859375,0.009276568246707495,True,19963.415,0.06860881643394985,high_scale_high_risk
19000066738997,VproI513,234,209,16,240,36416.38,20,53,12,196,1,208,0.057692307692307696,0.08547008547008547,687.1015094339622,0.008942038430811868,True,19963.415,0.06860881643394985,high_scale_low_risk
18999852289131,CsleepI41,359,339,18,380,35569.090000000004,7,22,35,301,3,336,0.10416666666666667,0.019498607242339833,1616.7768181818183,0.008733986456891272,True,19963.415,0.06860881643394985,high_scale_high_risk
18999717738931,VsleepI9,298,297,11,300,35455.18,0,45,28,269,0,297,0.09427609427609428,0.0,787.8928888888889,0.0087060158678966,True,19963.415,0.06860881643394985,high_scale_high_risk
19000066639265,VproI16,220,210,11,224,33751.78,0,23,13,197,0,210,0.06190476190476191,0.0,1467.468695652174,0.008287746169946255,True,19963.415,0.06860881643394985,high_scale_low_risk
19000019839177,VproI1,214,209,11,227,33150.99,2,20,26,183,0,209,0.12440191387559808,0.009345794392523364,1657.5494999999999,0.008140222246128252,True,19963.415,0.06860881643394985,high_scale_high_risk
19000061439192,VproI530,204,176,5,207,30359.87,24,33,5,171,0,176,0.028409090909090908,0.11764705882352941,919.9960606060606,0.007454863012041623,True,19963.415,0.06860881643394985,high_scale_low_risk
19000063789061,TproI519,179,165,18,190,29421.88,4,16,5,158,2,163,0.03067484662576687,0.0223463687150838,1838.8675,0.0072245396622820585,True,19963.415,0.06860881643394985,high_scale_low_risk
18999916438973,VstressI9,224,216,17,232,29287.32,2,40,25,190,1,215,0.11627906976744186,0.008928571428571428,732.183,0.007191498467873113,True,19963.415,0.06860881643394985,high_scale_high_risk
19000065989048,VproI520,218,172,9,225,29264.87,45,26,17,155,0,172,0.09883720930232558,0.20642201834862386,1125.571923076923,0.007185985872640644,True,19963.415,0.06860881643394985,high_scale_high_risk
19000067738967,VproI519,212,170,14,215,28912.34,40,29,14,156,0,170,0.08235294117647059,0.18867924528301888,996.9772413793104,0.00709942216674747,True,19963.415,0.06860881643394985,high_scale_high_risk
19000022889121,VproI6,198,190,12,201,28822.49,4,17,16,174,0,190,0.08421052631578947,0.020202020202020204,1695.4405882352942,0.0070773595083226505,True,19963.415,0.06860881643394985,high_scale_high_risk
19000025089070,VproI3,177,162,17,178,26150.36,6,23,16,146,0,162,0.09876543209876543,0.03389830508474576,1136.9721739130434,0.0064212182567175945,True,19963.415,0.06860881643394985,high_scale_high_risk
19000066589008,VproI528,177,154,12,181,26113.39,22,35,1,153,0,154,0.006493506493506494,0.12429378531073447,746.0968571428572,0.0064121402769517,True,19963.415,0.06860881643394985,high_scale_low_risk
18999906039212,TstressI20,232,160,22,256,23515.82,26,35,9,137,14,146,0.06164383561643835,0.11206896551724138,671.8805714285714,0.00577430722581581,True,19963.415,0.06860881643394985,high_scale_low_risk
18999818888985,TsleepI47,225,220,11,244,22937.98,0,23,15,205,0,220,0.06818181818181818,0.0,997.3034782608695,0.005632418672179772,True,19963.415,0.06860881643394985,high_scale_low_risk
18999858489006,TmultiI10,235,193,18,251,22889.99,11,21,23,163,7,186,0.12365591397849462,0.04680851063829787,1089.999523809524,0.0056206347325269395,True,19963.415,0.06860881643394985,high_scale_high_risk
18999871039267,TstressI6,169,165,15,177,22230.45,0,26,19,146,0,165,0.11515151515151516,0.0,855.0173076923077,0.005458684752142901,True,19963.415,0.06860881643394985,high_scale_high_risk
18999734689370,TsleepI2,220,212,10,234,21839.38,3,21,15,195,2,210,0.07142857142857142,0.013636363636363636,1039.9704761904763,0.005362657553142408,True,19963.415,0.06860881643394985,high_scale_high_risk
